subproject,id
Groupon UK,3
Groupon USA,3
Groupon UAE,3
Groupon AUS,3
Groupon IE,3
Groupon ES,3
Wowcher,3
Laimoon,3
Gulf Talent,3
Emagister,3
Grabone,3
Udemy,3
ShareAScale,3
DaddysDeals,3
VouchOFF,3
Qgrabs,3
MightyDeals,3
FlixUcation,3
GrouperMK,3
Just Design It,3
Cobone UAE,3
Empathy,3
GreatDeals,3
Hyperli,3
Metro Deal,3
Wagjag,3
Stack Commerce,3
Google,7
Facebook,7
Social Media,7
Bing,7
SID,4
Cert,4
AET,5
Exam Booking,5
Assign,5
Endorse certificate ABC,5
Endorse certificate QLS,5
Endorse Assign,5
Endorse certificate,5
Endorsed Submit Assign ABC,5
Endorse submit your assignment QLS,5
Enrolment letter,5
Submit your Photos,5
